	id	text	misogynous	misogyny_category	target	hate	humour
0	1	please tell me why the bitch next to me in the piercing line is so judgmental about everyone she fucking sees shut the fuck up	1	dominance	active	implicit_hate	funny
1	2	bitch shut the fuck up	1	dominance	active	explicit_hate	funny
2	3	dear cunt please shut the fuck up	1	dominance	active	explicit_hate	funny
3	4	pls shut the fuck up bitch	1	dominance	active	not_hate	funny
4	5	when u gonna get your license shut the fuck up bitch i aint got time damn get off my dick	1	dominance	active	implicit_hate	funny
5	6	bitch shut the fuck up	1	dominance	active	explicit_hate	funny
6	7	ok babies i ll go to sleep ok bitch shut the fuck up	1	dominance	passive	implicit_hate	funny
7	8	you are a fucking ugly bitch shut the fuck up you just a ugly bitch fuck you	1	dominance	active	explicit_hate	funny
8	9	bitch shut the fuck up you re fucking your best friends dad url	1	dominance	active	explicit_hate	funny
9	10	shut the fuck up and come suck my dick	1	sexual_harassment	active	implicit_hate	funny
10	11	ice has more talent in his ejeculated sperm than you do in ur whole body please shut the fuck up and go suck idubbz dick u cunt	1	sexual_harassment	active	implicit_hate	funny
11	12	ok if you fucking said leave block me but dm me first i m gonna kick your ass shut the fuck up you url	1	sexual_harassment	active	not_hate	funny
12	13	shut the fuck up ye little slag	1	dominance	active	explicit_hate	not_funny
13	14	selena has been acting like she ss the victim all these years shut the fuck up url	1	derailing	passive	not_hate	funny
14	15	shut the fuck up you cunt	1	dominance	active	explicit_hate	funny
15	16	like damn bitch if youre hungry shut the fuck up and eat im trying to sleep	1	dominance	active	implicit_hate	funny
16	17	you too skinny imma hurt you girl if you don t shut the fuck up and ride this dick imma be aight i got obamacare	1	sexual_harassment	active	implicit_hate	funny
17	18	shut the fuck up hes not gonna dick you was gonna send u this dope steroline edit but u can go cry to olly	1	dominance	active	implicit_hate	funny
18	19	don t speak bitch just die die die why can t you go bye bye bye cause i will take your life away so turn around and just shut the fuck up	1	dominance	active	implicit_hate	funny
19	20	if women want equailty they should be drafted into war see how that feels	1	derailing	passive	implicit_hate	funny
20	21	charli fuck you bitch charli omg why am i so extra wjahjaaj	1	discredit	active	implicit_hate	funny
21	22	bitch you better be url	1	discredit	active	not_hate	funny
22	23	come on box i show you my cock darling	1	sexual_harassment	active	implicit_hate	funny
23	24	rica gets so much cock in her licked cunt url	1	sexual_harassment	active	implicit_hate	funny
24	25	say you gon ride bitch ride	1	discredit	active	implicit_hate	funny
25	26	bitch you a hoe i do not like yo fish booty ass no fuckin moe	1	discredit	active	explicit_hate	funny
26	27	they call it hb i m a hot bitch you a has been	1	discredit	active	implicit_hate	funny
27	28	i kno this bitch pussy smells really bad because she cook steak rice n corn everyday	1	discredit	active	implicit_hate	funny
28	29	cause you re a bitch and you love those situations	1	discredit	active	not_hate	funny
29	30	cuf yo boy and yo girl have you heard pull a bad bitch by reese s stuffed with on url	1	discredit	passive	not_hate	funny
30	31	you know you can always block me right or are you an attention whore waiting for your feminist friends to get on line	1	discredit	active	not_hate	funny
31	32	and he had another girl with him bitch she was shook url	1	discredit	active	not_hate	funny
32	33	also this girl tried to twerk me away from barricade fuck you suck my dick	1	sexual_harassment	active	implicit_hate	funny
33	34	boo you sweaty whore	1	discredit	active	explicit_hate	funny
34	36	wow mo cock got hard want to pull your panties down push you against these door and let you feel my cock deep in your wet puss	1	sexual_harassment	active	implicit_hate	funny
35	37	kashdoll said yall hoes kill me always want the next bitch issue bitch you want her life but dont know what she been threw	1	discredit	active	implicit_hate	funny
36	38	literally just saw a 10 year old girl wearing a shirt with sparkles that said doing my best fucking same bitch where d you get that url	1	discredit	active	not_hate	funny
37	39	but remember you cheated on me first you re a whore you re a whore this is whore	1	discredit	active	implicit_hate	funny
38	40	wow never seen a woman juggle a big cock like that	1	sexual_harassment	active	implicit_hate	funny
39	41	is it rape if you stick your finger in a bootyhole when they sleep	1	sexual_harassment	passive	implicit_hate	funny
40	42	why did women vote for trump bitches will vote for a bitch	1	discredit	passive	implicit_hate	funny
41	43	so i had a dream that baekyeol kissed right in front of my face that was very charming thing until some psycho women start to scream bitch	1	discredit	passive	implicit_hate	funny
42	44	my girl left early in the morning holler bout she going to get her hair done bitch i ain t dumb	1	discredit	active	implicit_hate	funny
